syn	length	gc
ENSG00000186431.19	FCAR	654	0.515
ENSG00000189430.13	NCR1	568	0.546
ENSG00000167634.12	NLRP7	568	0.511
ENSG00000022556.16	NLRP2	1772	0.47
ENSG00000267265.5	AC011476.3	553	0.532
ENSG00000088053.11	GP6	876	0.565
ENSG00000160439.16	RDH13	2811	0.494
ENSG00000131037.15	EPS8L1	745	0.621
ENSG00000125503.13	PPP1R12C	4141	0.61
ENSG00000287170.1	AC010327.8	2536	0.48
ENSG00000105048.17	TNNT1	327	0.581
ENSG00000129991.13	TNNI3	871	0.617
ENSG00000167646.14	DNAAF3	893	0.572
ENSG00000129990.15	SYT5	769	0.625
ENSG00000080031.10	PTPRH	582	0.591
ENSG00000267649.1	AC010327.5	857	0.433
ENSG00000180089.6	TMEM86B	2034	0.645
ENSG00000105063.19	PPP6R1	2389	0.593
ENSG00000133265.11	HSPBP1	696	0.674
ENSG00000160469.17	BRSK1	1104	0.605
ENSG00000180061.10	TMEM150B	1197	0.572
ENSG00000133247.14	KMT5C	2235	0.618
ENSG00000160471.13	COX6B2	690	0.614
ENSG00000180043.11	FAM71E2	3191	0.628
ENSG00000095752.7	IL11	1201	0.634
ENSG00000108107.15	RPL28	671	0.559
ENSG00000108106.14	UBE2S	496	0.681
ENSG00000187902.11	SHISA7	2321	0.644
ENSG00000063241.8	ISOC2	2283	0.608
ENSG00000197483.10	ZNF628	472	0.725
ENSG00000090971.5	NAT14	1011	0.659
ENSG00000179954.16	SSC5D	3085	0.649
ENSG00000187550.9	SBK2	1056	0.706
ENSG00000231274.5	SBK3	1270	0.663
ENSG00000218891.5	ZNF579	497	0.567
ENSG00000179943.8	FIZ1	4686	0.593
ENSG00000171443.7	ZNF524	1260	0.649
ENSG00000261221.3	ZNF865	4005	0.711
ENSG00000179922.6	ZNF784	1559	0.676
ENSG00000213015.9	ZNF580	1025	0.663
ENSG00000171425.10	ZNF581	1100	0.613
ENSG00000173581.8	CCDC106	1153	0.676
ENSG00000063244.13	U2AF2	1104	0.607
ENSG00000267523.1	AC008735.2	549	0.514
ENSG00000063245.15	EPN1	593	0.664
ENSG00000185792.10	NLRP9	2958	0.455
ENSG00000179873.14	NLRP11	416	0.474
ENSG00000160505.16	NLRP4	1781	0.487
ENSG00000173572.11	NLRP13	3132	0.472
ENSG00000179709.8	NLRP8	3090	0.492
ENSG00000171487.15	NLRP5	668	0.466
ENSG00000142409.6	ZNF787	1657	0.6
ENSG00000167685.15	ZNF444	5565	0.578
ENSG00000197487.9	GALP	889	0.474
ENSG00000197213.9	ZSCAN5B	555	0.532
ENSG00000204532.6	ZSCAN5C	1491	0.547
ENSG00000131848.9	ZSCAN5A	1108	0.504
ENSG00000267710.9	EDDM13	632	0.514
ENSG00000267549.6	AC006116.8	3180	0.42
ENSG00000267606.1	AC006116.9	649	0.408
ENSG00000240225.10	ZNF542P	1305	0.416
ENSG00000018869.17	ZNF582	509	0.58
ENSG00000267454.6	ZNF582-AS1	1606	0.475
ENSG00000198440.9	ZNF583	2910	0.369
ENSG00000198046.12	ZNF667	3593	0.478
ENSG00000166770.11	ZNF667-AS1	5588	0.406
ENSG00000196263.8	ZNF471	564	0.457
ENSG00000267421.6	AC005498.2	784	0.542
ENSG00000196867.8	ZFP28	584	0.449
ENSG00000269696.2	AC005498.3	2109	0.464
ENSG00000197016.12	ZNF470	2274	0.431
ENSG00000197951.10	ZNF71	758	0.489
ENSG00000268182.6	SMIM17	573	0.499
ENSG00000127903.14	ZNF835	507	0.629
ENSG00000286125.1	AC006115.2	3713	0.365
ENSG00000269699.6	ZIM2	2475	0.507
ENSG00000198300.14	PEG3	8559	0.435
ENSG00000268654.2	MIMT1	1290	0.405
ENSG00000131864.10	USP29	3284	0.415
ENSG00000083844.10	ZNF264	2078	0.501
ENSG00000105146.13	AURKC	877	0.539
ENSG00000204524.7	ZNF805	10169	0.403
ENSG00000267871.6	ZNF460-AS1	1553	0.464
ENSG00000197714.9	ZNF460	555	0.494
ENSG00000131845.15	ZNF304	3331	0.485
ENSG00000152433.15	ZNF547	602	0.417
ENSG00000256060.3	TRAPPC2B	1743	0.512
ENSG00000188785.12	ZNF548	682	0.513
ENSG00000269533.5	AC003002.3	630	0.524
ENSG00000186272.12	ZNF17	2750	0.435
ENSG00000186230.7	ZNF749	677	0.557
ENSG00000268163.1	AC004076.1	664	0.539
ENSG00000197128.11	ZNF772	482	0.523
ENSG00000268266.1	AC003005.2	539	0.508
ENSG00000105136.21	ZNF419	5542	0.474
ENSG00000268107.6	AC003005.1	565	0.586
ENSG00000152439.13	ZNF773	929	0.549
ENSG00000121406.9	ZNF549	5505	0.486
ENSG00000251369.9	ZNF550	565	0.575
ENSG00000171649.12	ZIK1	2860	0.476
ENSG00000183647.10	ZNF530	4367	0.452
ENSG00000213762.12	ZNF134	590	0.583
ENSG00000121417.14	ZNF211	2641	0.473
ENSG00000180532.10	ZSCAN4	1979	0.421
ENSG00000204519.11	ZNF551	1826	0.465
ENSG00000269026.2	AC003006.1	612	0.536
ENSG00000179909.15	ZNF154	2567	0.455
ENSG00000083814.13	ZNF671	1932	0.509
ENSG00000152443.13	ZNF776	1971	0.424
ENSG00000083828.16	ZNF586	2695	0.466
ENSG00000178935.5	ZNF552	2352	0.46
ENSG00000268750.7	AC010522.1	606	0.521
ENSG00000269343.9	ZNF587B	1670	0.481
ENSG00000204514.10	ZNF814	2496	0.463
ENSG00000198466.12	ZNF587	5731	0.457
ENSG00000270804.1	AC010326.4	891	0.488
ENSG00000173480.11	ZNF417	1975	0.472
ENSG00000196724.13	ZNF418	2501	0.456
ENSG00000152454.4	ZNF256	1958	0.465
ENSG00000166704.11	ZNF606	651	0.68
ENSG00000176593.8	AC008969.1	3100	0.496
ENSG00000152467.10	ZSCAN1	813	0.659
ENSG00000176293.20	ZNF135	3349	0.52
ENSG00000121413.13	ZSCAN18	5729	0.593
ENSG00000181894.15	ZNF329	469	0.638
ENSG00000171606.18	ZNF274	4852	0.514
ENSG00000198131.14	ZNF544	3705	0.488
ENSG00000283515.1	AC020915.4	3042	0.538
ENSG00000142396.10	ERVK3-1	3889	0.45
ENSG00000283103.3	AC010642.2	3237	0.479
ENSG00000121410.12	A1BG	2301	0.629
ENSG00000268230.5	AC012313.3	436	0.628
ENSG00000268895.6	A1BG-AS1	2412	0.587
ENSG00000174586.11	ZNF497	792	0.66
ENSG00000269054.2	AC012313.6	1762	0.592
ENSG00000152475.7	ZNF837	2038	0.701
ENSG00000083845.9	RPS5	1747	0.536
ENSG00000171574.18	ZNF584	2709	0.501
ENSG00000232098.3	AC012313.1	3059	0.616
ENSG00000131849.12	ZNF132	2356	0.458
ENSG00000249471.8	ZNF324B	564	0.608
ENSG00000083812.12	ZNF324	2330	0.615
ENSG00000083838.16	ZNF446	1869	0.636
ENSG00000083807.10	SLC27A5	5032	0.536
ENSG00000119574.13	ZBTB45	2159	0.667
ENSG00000130726.12	TRIM28	1552	0.615
ENSG00000130724.9	CHMP2A	687	0.569
ENSG00000130725.8	UBE2M	447	0.546
ENSG00000267858.6	MZF1-AS1	2567	0.56
ENSG00000099326.9	MZF1	3261	0.562
ENSG00000213753.11	CENPBD1P1	8336	0.442
ENSG00000286104.1	AC016629.3	3256	0.435
ENSG00000269600.2	AC016629.2	890	0.399
ENSG00000178591.7	DEFB125	1200	0.377
ENSG00000125788.6	DEFB126	298	0.45
ENSG00000196476.12	C20orf96	1608	0.522
ENSG00000225377.6	NRSN2-AS1	4204	0.481
ENSG00000125841.13	NRSN2	1852	0.596
ENSG00000101255.11	TRIB3	1533	0.631
ENSG00000125826.21	RBCK1	2599	0.643
ENSG00000125875.14	TBC1D20	3820	0.512
ENSG00000101266.19	CSNK2A1	12912	0.444
ENSG00000101276.18	SLC52A3	2674	0.565
ENSG00000125898.13	FAM110A	1737	0.651
ENSG00000101282.9	RSPO4	722	0.665
ENSG00000286787.1	AL110114.1	2676	0.469
ENSG00000125818.18	PSMF1	4030	0.468
ENSG00000125895.5	TMEM74B	983	0.573
ENSG00000244588.5	RAD21L1	563	0.306
ENSG00000101298.15	SNPH	5354	0.611
ENSG00000125775.15	SDCBP2	1096	0.627
ENSG00000274322.1	AL136531.2	1164	0.55
ENSG00000234684.7	SDCBP2-AS1	2413	0.485
ENSG00000088832.17	FKBP1A	694	0.428
ENSG00000088833.17	NSFL1C	624	0.49
ENSG00000196209.13	SIRPB2	1111	0.504
ENSG00000125900.13	SIRPD	820	0.494
ENSG00000260861.6	AL049634.2	588	0.537
ENSG00000101307.16	SIRPB1	1701	0.561
ENSG00000089012.14	SIRPG	425	0.558
ENSG00000237914.5	SIRPG-AS1	410	0.429
ENSG00000286288.1	AL109809.4	4575	0.475
ENSG00000232528.3	AL109809.1	747	0.558
ENSG00000276649.1	AL117335.1	948	0.597
ENSG00000198053.12	SIRPA	4570	0.546
ENSG00000233896.2	PDYN-AS1	1904	0.458
ENSG00000101327.9	PDYN	807	0.591
ENSG00000125834.13	STK35	1595	0.572
ENSG00000226644.5	AL121899.1	536	0.597
ENSG00000125780.12	TGM3	518	0.541
ENSG00000166948.10	TGM6	2158	0.593
ENSG00000125835.19	SNRPB	985	0.584
ENSG00000088876.13	ZNF343	3172	0.486
ENSG00000149488.13	TMC2	3477	0.502
ENSG00000101361.17	NOP56	2980	0.509
ENSG00000101365.21	IDH3B	1400	0.546
ENSG00000088881.21	EBF4	1647	0.603
ENSG00000258713.2	C20orf141	580	0.621
ENSG00000198326.10	TMEM239	3892	0.524
ENSG00000132635.17	PCED1A	1187	0.626
ENSG00000215305.10	VPS16	819	0.596
ENSG00000132670.20	PTPRA	3135	0.476
ENSG00000125787.11	GNRH2	353	0.666
ENSG00000235958.5	UBOX5-AS1	425	0.504
ENSG00000185019.17	UBOX5	524	0.506
ENSG00000088899.15	LZTS3	4055	0.625
ENSG00000198171.13	DDRGK1	865	0.534
ENSG00000125877.13	ITPA	670	0.57
ENSG00000088836.14	SLC4A11	3046	0.589
ENSG00000088854.12	C20orf194	2151	0.483
ENSG00000088812.18	ATRN	3921	0.496
ENSG00000125861.15	GFRA4	549	0.747
ENSG00000149451.18	ADAM33	2358	0.578
ENSG00000088827.12	SIGLEC1	4326	0.582
ENSG00000132622.11	HSPA12B	3009	0.641
ENSG00000101220.18	C20orf27	1252	0.633
ENSG00000101222.12	SPEF1	1925	0.639
ENSG00000101224.17	CDC25B	634	0.557
ENSG00000125843.11	AP5S1	5372	0.528
ENSG00000088888.18	MAVS	11731	0.521
ENSG00000125779.22	PANK2	5127	0.522
ENSG00000101236.17	RNF24	1128	0.524
ENSG00000088826.18	SMOX	1669	0.597
ENSG00000230176.3	LINC01433	840	0.507
ENSG00000171873.8	ADRA1D	512	0.668
ENSG00000236387.2	AL139350.1	1160	0.404
ENSG00000226948.2	RPS4XP2	2551	0.378
ENSG00000171867.17	PRNP	855	0.639
ENSG00000180259.10	PRNT	1877	0.476
ENSG00000101265.16	RASSF2	5201	0.483
ENSG00000089057.15	SLC23A2	911	0.519
ENSG00000089063.15	TMEM230	1730	0.436
ENSG00000132646.11	PCNA	1359	0.453
ENSG00000101290.14	CDS2	945	0.517
ENSG00000266908.2	AL121757.2	1923	0.509
ENSG00000226995.9	LINC00658	1725	0.518
ENSG00000230563.4	AL121757.1	2155	0.531
ENSG00000205181.7	LINC00654	2796	0.509
ENSG00000125772.14	GPCPD1	633	0.395
ENSG00000171984.15	SHLD1	627	0.491
ENSG00000089199.10	CHGB	2030	0.436
ENSG00000089195.15	TRMT6	778	0.485
ENSG00000125885.13	MCM8	7486	0.42
ENSG00000088766.12	CRLS1	977	0.339
ENSG00000101311.16	FERMT1	3322	0.449
ENSG00000228482.2	LINC01713	932	0.472
ENSG00000238102.2	AL080248.1	2139	0.371
ENSG00000224711.2	LINC01706	1258	0.441
ENSG00000125827.9	TMX4	787	0.577
ENSG00000229766.7	AL021396.1	3603	0.456
ENSG00000182621.18	PLCB1	5074	0.422
ENSG00000225479.1	PLCB1-IT1	373	0.399
ENSG00000101333.16	PLCB4	5508	0.39
ENSG00000125869.10	LAMP5	1810	0.522
ENSG00000101349.16	PAK5	4780	0.45
ENSG00000132623.16	ANKEF1	2805	0.448
ENSG00000227906.8	SNAP25-AS1	5058	0.394
ENSG00000230506.2	AL354824.1	927	0.466
ENSG00000232448.2	AL354824.2	1390	0.445
ENSG00000132639.13	SNAP25	2256	0.396
ENSG00000125863.20	MKKS	6181	0.387
ENSG00000149346.15	SLX4IP	597	0.503
ENSG00000101384.12	JAG1	756	0.46
ENSG00000270792.6	AL050403.2	1630	0.428
ENSG00000224961.3	LINC01752	634	0.391
ENSG00000232900.2	AL050403.1	1605	0.45
ENSG00000125899.8	LINC02871	1219	0.404
ENSG00000230990.2	AL049649.1	1105	0.433
ENSG00000228422.5	LINC00687	918	0.486
ENSG00000132640.15	BTBD3	668	0.472
ENSG00000235292.2	AL109838.1	3111	0.455
ENSG00000269931.2	AL078623.1	907	0.488
ENSG00000234265.2	LINC01723	1473	0.495
ENSG00000172296.13	SPTLC3	2480	0.402
ENSG00000089123.16	TASP1	754	0.456
ENSG00000089048.14	ESF1	1470	0.384
ENSG00000101247.18	NDUFAF5	991	0.464
ENSG00000101251.13	SEL1L2	1909	0.433
ENSG00000172264.17	MACROD2	1632	0.461
ENSG00000125848.10	FLRT3	617	0.42
ENSG00000227927.2	MACROD2-IT1	665	0.454
ENSG00000235914.2	MACROD2-AS1	1230	0.42
ENSG00000287410.1	AL161941.1	3334	0.448
ENSG00000089177.19	KIF16B	5109	0.457
ENSG00000228809.2	AL034428.1	1101	0.483
ENSG00000125870.11	SNRPB2	540	0.407
ENSG00000125879.5	OTOR	1047	0.403
ENSG00000125851.10	PCSK2	2825	0.451
ENSG00000125864.14	BFSP1	705	0.498
ENSG00000125868.16	DSTN	795	0.449
ENSG00000125844.16	RRBP1	2200	0.558
ENSG00000125888.14	BANF2	623	0.522
ENSG00000089006.16	SNX5	3931	0.409
ENSG00000125850.11	OVOL2	990	0.534
ENSG00000125871.14	MGME1	1936	0.438
ENSG00000149474.13	KAT14	949	0.531
ENSG00000125846.15	ZNF133	4060	0.475
ENSG00000230010.2	AL049646.1	2490	0.397
ENSG00000237282.3	LINC00851	727	0.56
ENSG00000089091.16	DZANK1	464	0.55
ENSG00000132664.12	POLR3F	705	0.43
ENSG00000089050.16	RBBP9	830	0.453
ENSG00000101310.17	SEC23B	3026	0.443
ENSG00000232388.5	SMIM26	670	0.548
ENSG00000125821.13	DTD1	4112	0.46
ENSG00000179935.10	LINC00652	3434	0.466
ENSG00000149443.7	SCP2D1-AS1	606	0.498
ENSG00000185052.12	SLC24A3	3694	0.521
ENSG00000232675.7	AL121830.1	673	0.498
ENSG00000132669.13	RIN2	4505	0.489
ENSG00000173418.12	NAA20	1000	0.414
ENSG00000101343.15	CRNKL1	733	0.401
ENSG00000089101.19	CFAP61	2178	0.47
ENSG00000188559.15	RALGAPA2	628	0.384
ENSG00000225127.3	LINC00237	1228	0.476
ENSG00000283405.2	AL121759.2	2587	0.422
ENSG00000088970.16	KIZ	1397	0.425
ENSG00000228604.3	AL121759.1	795	0.458
ENSG00000232712.6	KIZ-AS1	562	0.434
ENSG00000225280.7	AL158013.1	1066	0.356
ENSG00000233492.2	AL133325.2	1744	0.424
ENSG00000279082.4	LINC01727	4540	0.398
ENSG00000125813.13	PAX1	589	0.679
ENSG00000225321.2	LINC01427	4566	0.396
ENSG00000204684.4	AL133464.1	1867	0.456
ENSG00000259974.3	LINC00261	4912	0.429
ENSG00000125798.14	FOXA2	2401	0.592
ENSG00000230400.3	LINC01747	1080	0.475
ENSG00000283072.3	AL158175.1	1781	0.472
ENSG00000234646.7	AL049651.2	412	0.483
ENSG00000233746.2	LINC00656	1883	0.547
ENSG00000230387.4	AL118508.1	2345	0.508
ENSG00000232645.5	LINC01431	514	0.486
ENSG00000125812.16	GZF1	795	0.629
ENSG00000125814.17	NAPB	699	0.438
ENSG00000125823.12	CSTL1	488	0.514
ENSG00000125831.10	CST11	461	0.466
ENSG00000273838.2	AL096677.1	1249	0.5
ENSG00000260202.2	AL109954.1	557	0.528
ENSG00000125815.9	CST8	894	0.517
ENSG00000204663.9	CST13P	428	0.444
ENSG00000101439.9	CST3	832	0.641
ENSG00000286117.2	AL121894.3	1736	0.494
ENSG00000286270.2	AL591074.2	1162	0.434
ENSG00000170373.8	CST1	655	0.573
ENSG00000230908.2	AL591074.1	1218	0.429
ENSG00000228476.2	CSTP1	1136	0.541
ENSG00000149435.12	GGTLC1	1046	0.604
ENSG00000230133.2	LINC01721	3383	0.438
ENSG00000101463.6	SYNDIG1	417	0.571
ENSG00000101474.12	APMAP	2202	0.525
ENSG00000154930.15	ACSS1	4767	0.52
ENSG00000100987.15	VSX1	558	0.593
ENSG00000230725.6	AL035252.2	3110	0.48
ENSG00000197586.13	ENTPD6	1918	0.581
ENSG00000100994.12	PYGB	734	0.574
ENSG00000100997.20	ABHD12	2035	0.585
ENSG00000101003.10	GINS1	583	0.506
ENSG00000101004.15	NINL	735	0.499
ENSG00000213742.7	ZNF337-AS1	1028	0.487
ENSG00000130684.14	ZNF337	572	0.554
ENSG00000226465.3	AL390198.1	1237	0.496
ENSG00000175170.16	FAM182B	1825	0.563
ENSG00000125804.14	FAM182A	2081	0.409
ENSG00000240108.1	NCOR1P1	406	0.406
ENSG00000227195.11	MIR663AHG	1504	0.408
ENSG00000238129.5	AL121904.1	656	0.381
ENSG00000282826.2	FRG1CP	2344	0.468
ENSG00000205611.5	LINC01597	2218	0.492
ENSG00000231934.2	FAM242A	1712	0.515
ENSG00000277112.3	ANKRD20A21P	517	0.542
ENSG00000180483.7	DEFB119	500	0.492
ENSG00000204548.4	DEFB121	458	0.43
ENSG00000204547.7	DEFB122	499	0.425
ENSG00000180383.3	DEFB124	571	0.48
ENSG00000101294.18	HM13	2788	0.518
ENSG00000125968.9	ID1	1233	0.586
ENSG00000131055.5	COX4I2	338	0.615
ENSG00000171552.13	BCL2L1	1157	0.573
ENSG00000088325.16	TPX2	3605	0.468
ENSG00000101306.11	MYLK2	1621	0.599
ENSG00000149599.15	DUSP15	831	0.586
ENSG00000131044.17	TTLL9	3775	0.528
ENSG00000226239.2	AL031658.1	4196	0.516
ENSG00000101331.17	CCM2L	2599	0.639
ENSG00000101336.16	HCK	1127	0.524
ENSG00000101337.16	TM9SF4	3023	0.515
ENSG00000235217.6	TSPY26P	3884	0.553
ENSG00000101346.14	POFUT1	768	0.561
ENSG00000171456.20	ASXL1	8056	0.493
ENSG00000197183.14	NOL4L	1376	0.6
ENSG00000204393.7	NOL4L-DT	846	0.545
ENSG00000198547.10	C20orf203	5103	0.552
ENSG00000285382.1	FO393400.1	4410	0.512
ENSG00000149600.11	COMMD7	1987	0.492
ENSG00000088305.18	DNMT3B	4255	0.528
ENSG00000215529.12	EFCAB8	801	0.547
ENSG00000167098.12	SUN5	513	0.54
ENSG00000167104.11	BPIFB6	1362	0.547
ENSG00000186191.8	BPIFB4	2525	0.587
ENSG00000131050.11	BPIFA2	1122	0.513
ENSG00000183566.10	BPIFA4P	656	0.485
ENSG00000131059.12	BPIFA3	1154	0.528
ENSG00000198183.12	BPIFA1	907	0.545
ENSG00000125999.11	BPIFB1	1933	0.515
ENSG00000125997.5	BPIFB9P	545	0.383
ENSG00000101391.21	CDK5RAP1	740	0.423
ENSG00000078699.22	CBFA2T2	3502	0.51
ENSG00000125967.17	NECAB3	625	0.656
ENSG00000149609.6	C20orf144	2254	0.599
ENSG00000101417.12	PXMP4	979	0.578
ENSG00000131061.14	ZNF341	3240	0.558
ENSG00000230753.6	ZNF341-AS1	464	0.496
ENSG00000285230.2	RALY-AS1	4324	0.473
ENSG00000125970.12	RALY	871	0.573
ENSG00000101440.9	ASIP	586	0.614
ENSG00000101444.13	AHCY	2366	0.562
ENSG00000078747.16	ITCH	5202	0.396
ENSG00000125971.16	DYNLRB1	1053	0.533
ENSG00000101460.13	MAP1LC3A	851	0.651
ENSG00000101464.11	PIGU	920	0.407
ENSG00000198646.14	NCOA6	3271	0.531
ENSG00000078804.13	TP53INP2	442	0.654
ENSG00000131067.17	GGT7	615	0.672
ENSG00000131069.20	ACSS2	1030	0.473
ENSG00000100983.12	GSS	3019	0.542
ENSG00000078814.17	MYH7B	1725	0.567
ENSG00000100991.12	TRPC4AP	3162	0.533
ENSG00000088298.13	EDEM2	1756	0.539
ENSG00000101000.6	PROCR	642	0.564
ENSG00000126005.17	MMP24OS	1542	0.355
ENSG00000242372.9	EIF6	1054	0.574
ENSG00000101019.22	UQCC1	781	0.453
ENSG00000125965.9	GDF5	2572	0.588
ENSG00000126001.16	CEP250	2648	0.59
ENSG00000230155.6	CEP250-AS1	600	0.457
ENSG00000242507.6	FO393401.1	641	0.535
ENSG00000125975.14	C20orf173	383	0.564
ENSG00000125991.20	ERGIC3	832	0.546
ENSG00000088340.17	FER1L4	3646	0.561
ENSG00000061656.10	SPAG4	827	0.593
ENSG00000214078.12	CPNE1	821	0.549
ENSG00000272897.5	AL109827.1	872	0.515
ENSG00000244462.8	RBM12	5332	0.424
ENSG00000244005.13	NFS1	961	0.497
ENSG00000125995.16	ROMO1	288	0.635
ENSG00000131051.24	RBM39	5914	0.416
ENSG00000025293.17	PHF20	643	0.417
ENSG00000171222.10	SCAND1	1371	0.605
ENSG00000149646.12	CNBD2	2531	0.487
ENSG00000234139.4	AL035420.1	1110	0.497
ENSG00000088367.23	EPB41L1	864	0.488
ENSG00000232406.7	AL121895.1	2701	0.515
ENSG00000131043.12	AAR2	2689	0.55
ENSG00000080845.17	DLGAP4	631	0.637
ENSG00000232907.8	DLGAP4-AS1	668	0.587
ENSG00000101335.10	MYL9	1024	0.612
ENSG00000118707.11	TGIF2	1301	0.576
ENSG00000101084.18	RAB5IF	874	0.434
ENSG00000101082.14	SLA2	2171	0.544
ENSG00000101079.21	NDRG3	736	0.461
ENSG00000149636.16	DSN1	1146	0.518
ENSG00000149639.15	SOGA1	4478	0.61
ENSG00000101342.10	TLDC2	1448	0.463
ENSG00000101347.10	SAMHD1	5492	0.444
ENSG00000080839.12	RBL1	763	0.398
ENSG00000101353.15	MROH8	2000	0.519
ENSG00000118705.17	RPN2	712	0.556
ENSG00000118702.9	GHRH	377	0.578
ENSG00000101363.12	MANBAL	1503	0.533
ENSG00000197122.12	SRC	584	0.557
ENSG00000166619.15	BLCAP	4083	0.441
ENSG00000053438.11	NNAT	1259	0.573
ENSG00000274469.2	LINC01746	1157	0.531
ENSG00000204117.2	AL162293.1	667	0.547
ENSG00000132792.19	CTNNBL1	1130	0.502
ENSG00000132821.12	VSTM2L	656	0.723
ENSG00000101407.13	TTI1	3791	0.483
ENSG00000101413.12	RPRD1B	659	0.419
ENSG00000198959.12	TGM2	3467	0.55
ENSG00000149633.12	KIAA1755	2452	0.601
ENSG00000285347.1	AL359555.4	2857	0.512
ENSG00000101425.14	BPI	515	0.445
ENSG00000196756.13	SNHG17	2643	0.511
ENSG00000174365.20	SNHG11	4108	0.528
ENSG00000170471.15	RALGAPB	5050	0.403
ENSG00000182035.12	ADIG	770	0.577
ENSG00000124143.10	ARHGAP40	534	0.547
ENSG00000101445.10	PPP1R16B	268	0.552
ENSG00000101447.15	FAM83D	2370	0.508
ENSG00000101452.15	DHX35	3376	0.491
ENSG00000229976.2	AL118523.1	1611	0.441
ENSG00000237767.2	LINC01370	2584	0.354
ENSG00000226648.2	PLCG1-AS1	5188	0.483
ENSG00000124181.14	PLCG1	1005	0.55
ENSG00000174306.21	ZHX3	8838	0.497
ENSG00000132793.12	LPIN3	4132	0.588
ENSG00000124177.15	CHD6	2829	0.478
ENSG00000196090.12	PTPRT	4521	0.573
ENSG00000229042.2	AL031656.1	573	0.421
ENSG00000233508.3	AL021395.1	2241	0.467
ENSG00000124193.16	SRSF6	1275	0.479
ENSG00000185513.17	L3MBTL1	7254	0.54
ENSG00000101049.17	SGK2	1484	0.487
ENSG00000101052.13	IFT52	749	0.368
ENSG00000101057.16	MYBL2	2668	0.6
ENSG00000124196.6	GTSF1L	839	0.486
ENSG00000124191.18	TOX2	1271	0.548
ENSG00000149596.7	JPH2	1923	0.551
ENSG00000132823.11	OSER1	2109	0.43
ENSG00000223891.6	OSER1-DT	4371	0.486
ENSG00000124194.17	GDAP1L1	538	0.563
ENSG00000226812.2	AL117382.2	754	0.446
ENSG00000101076.17	HNF4A	3340	0.572
ENSG00000229005.2	HNF4A-AS1	648	0.512
ENSG00000168746.8	LINC01620	700	0.496
ENSG00000124120.11	TTPAL	3455	0.46
ENSG00000132824.14	SERINC3	393	0.547
ENSG00000168734.14	PKIG	1153	0.532
ENSG00000196839.13	ADA	1128	0.586
ENSG00000244558.6	KCNK15-AS1	514	0.496
ENSG00000064205.10	CCN5	2759	0.54
ENSG00000101098.13	RIMS4	1036	0.63
ENSG00000166913.13	YWHAB	5867	0.432
ENSG00000101104.13	PABPC1L	1168	0.518
ENSG00000227477.1	STK4-AS1	2065	0.464
ENSG00000101109.12	STK4	932	0.349
ENSG00000124134.9	KCNS1	5447	0.541
ENSG00000175121.11	WFDC5	1018	0.546
ENSG00000283142.1	AL049767.1	514	0.488
ENSG00000243995.3	AL035660.2	556	0.523
ENSG00000124159.15	MATN4	1991	0.644
ENSG00000124232.11	RBPJL	1661	0.584
ENSG00000204070.10	SYS1	1022	0.497
ENSG00000254806.5	SYS1-DBNDD2	674	0.589
ENSG00000124251.11	TP53TG5	554	0.59
ENSG00000244274.8	DBNDD2	1233	0.535
ENSG00000124155.18	PIGT	6087	0.486
ENSG00000101443.18	WFDC2	646	0.494
ENSG00000243543.8	WFDC6	394	0.477
ENSG00000249139.2	EPPIN-WFDC6	1156	0.433
ENSG00000101448.14	EPPIN	4017	0.457
ENSG00000158901.12	WFDC8	1027	0.434
ENSG00000180083.11	WFDC11	615	0.433
ENSG00000182931.9	WFDC10B	475	0.476
ENSG00000124116.19	WFDC3	886	0.457
ENSG00000101457.13	DNTTIP1	930	0.53
ENSG00000175063.17	UBE2C	518	0.519
ENSG00000101470.10	TNNC2	780	0.587
ENSG00000124104.19	SNX21	771	0.671
ENSG00000101473.17	ACOT8	1268	0.579
ENSG00000168612.4	ZSWIM1	2769	0.527
ENSG00000124257.6	NEURL2	490	0.6
ENSG00000064601.19	CTSA	695	0.505
ENSG00000100979.15	PLTP	1420	0.612
ENSG00000100982.12	PCIF1	627	0.499
ENSG00000198026.8	ZNF335	1893	0.558
ENSG00000204044.6	SLC12A5-AS1	491	0.57
ENSG00000124140.14	SLC12A5	617	0.64
ENSG00000124160.12	NCOA5	727	0.557
ENSG00000101017.14	CD40	710	0.472
ENSG00000149654.11	CDH22	1640	0.62
ENSG00000080189.15	SLC35C2	2510	0.547
ENSG00000273828.2	AL133227.1	5275	0.455
ENSG00000062598.18	ELMO2	553	0.514
ENSG00000215452.5	ZNF663P	1131	0.387
ENSG00000283757.1	AL031686.1	1995	0.443
ENSG00000225849.2	MKRN7P	1765	0.47
ENSG00000198185.11	ZNF334	2635	0.403
ENSG00000158296.14	SLC13A3	792	0.457
ENSG00000172315.6	TP53RK	2012	0.445
ENSG00000197496.6	SLC2A10	586	0.609
ENSG00000064655.19	EYA2	472	0.511
ENSG00000101040.19	ZMYND8	175	0.503
ENSG00000224565.2	LINC01754	832	0.434
ENSG00000124151.19	NCOA3	824	0.434
ENSG00000196562.14	SULF2	1319	0.422
ENSG00000234967.2	AL357558.2	1771	0.516
ENSG00000237423.3	LINC01522	2606	0.502
ENSG00000235621.9	LINC00494	3418	0.477
ENSG00000274261.2	AL137078.2	1022	0.463
ENSG00000124126.14	PREX1	478	0.536
ENSG00000124198.9	ARFGEF2	245	0.478
ENSG00000227431.6	CSE1L-AS1	676	0.536
