Geneid	syn	length	gc
ENST00000666705.11	ENSG00000272138.2	LINC01607	3529	0.403
ENST00000659308.1	ENSG00000249328.3	AC036214.1	935	0.407
ENST00000657657.1	ENSG00000285758.2	AC036214.4	2393	0.454
ENST00000518271.1	ENSG00000147586.10	MRPS28	487	0.503
ENST00000521618.1	ENSG00000076554.15	TPD52	580	0.367
ENST00000666374.11	ENSG00000253238.3	AC034114.2	1450	0.439
ENST00000610895.2	ENSG00000205189.12	ZBTB10	2833	0.431
ENST00000519936.1	ENSG00000164684.13	ZNF704	712	0.577
ENST00000523463.1	ENSG00000076641.4	PAG1	876	0.477
ENST00000669190.1	ENSG00000253214.2	AC079209.1	1486	0.364
ENST00000518880.11	ENSG00000254027.1	AC009902.2	620	0.605
ENST00000396359.1	ENSG00000164687.11	FABP5	986	0.484
ENST00000519260.1	ENSG00000147588.7	PMP2	1264	0.343
ENST00000521734.1	ENSG00000170323.9	FABP4	761	0.344
ENST00000518637.1	ENSG00000253374.5	AC023644.1	557	0.433
ENST00000519696.11	ENSG00000197416.4	FABP12	503	0.414
ENST00000510718.11	ENSG00000251521.2	IMPA1P1	842	0.399
ENST00000520065.1	ENSG00000133731.10	IMPA1	651	0.399
ENST00000519338.1	ENSG00000104231.11	ZFAND1	891	0.348
ENST00000615066.1	ENSG00000104497.14	SNX16	1918	0.337
ENST00000656073.1	ENSG00000254689.3	LINC02235	2581	0.42
ENST00000658531.1	ENSG00000254394.2	AC060765.2	1946	0.41
ENST00000520155.11	ENSG00000254123.2	LINC02839	823	0.294
ENST00000660350.1	ENSG00000253503.6	AC060765.1	1174	0.355
ENST00000666702.1	ENSG00000254202.2	AC015522.1	2918	0.373
ENST00000518065.1	ENSG00000184672.12	RALYL	1505	0.326
ENST00000522770.1	ENSG00000133739.16	LRRCC1	2800	0.403
ENST00000566000.1	ENSG00000260493.1	AC011773.4	1264	0.43
ENST00000521234.1	ENSG00000133740.11	E2F5	641	0.365
ENST00000518786.1	ENSG00000176731.12	RBIS	827	0.44
ENST00000522631.1	ENSG00000185015.8	CA13	700	0.401
ENST00000549291.1	ENSG00000258256.1	AC011773.3	790	0.542
ENST00000626824.1	ENSG00000133742.14	CA1	2405	0.386
ENST00000522207.1	ENSG00000164879.7	CA3	645	0.485
ENST00000654303.1	ENSG00000253549.6	CA3-AS1	2578	0.457
ENST00000522742.1	ENSG00000104267.10	CA2	691	0.499
ENST00000654638.1	ENSG00000254380.2	AC084734.1	1035	0.448
ENST00000608646.2	ENSG00000205176.3	REXO1L1P	1974	0.634
ENST00000619970.11	ENSG00000277422.1	REXO1L6P	1078	0.638
ENST00000648211.11	ENSG00000253154.2	AC100801.1	4408	0.346
ENST00000523635.1	ENSG00000147614.4	ATP6V0D2	504	0.55
ENST00000523010.1	ENSG00000147613.8	PSKH2	629	0.461
ENST00000524253.1	ENSG00000253675.1	AC023194.3	364	0.445
ENST00000520624.1	ENSG00000164893.9	SLC7A13	578	0.415
ENST00000668794.1	ENSG00000254231.3	AC103760.1	5389	0.383
ENST00000524036.1	ENSG00000123124.14	WWP1	820	0.344
ENST00000518772.1	ENSG00000176623.12	RMDN1	796	0.509
ENST00000614678.1	ENSG00000085719.13	CPNE3	4201	0.367
ENST00000519777.1	ENSG00000170289.12	CNGB3	774	0.421
ENST00000620844.1	ENSG00000176571.12	CNBD1	876	0.369
ENST00000518494.1	ENSG00000253500.6	AF121898.1	826	0.475
ENST00000520568.1	ENSG00000156103.16	MMP16	605	0.436
ENST00000658283.11	ENSG00000253553.7	AC090578.1	4933	0.398
ENST00000658265.1	ENSG00000251136.9	AF117829.1	4686	0.376
ENST00000522965.11	ENSG00000104312.8	RIPK2	1916	0.447
ENST00000647849.11	ENSG00000164823.11	OSGIN2	3990	0.358
ENST00000613033.1	ENSG00000104320.14	NBN	786	0.331
ENST00000520227.1	ENSG00000104325.7	DECR1	864	0.427
ENST00000469032.11	ENSG00000104327.7	CALB1	5392	0.322
ENST00000665012.11	ENSG00000254180.2	AC004083.1	3662	0.372
ENST00000653734.1	ENSG00000253394.6	LINC00534	1880	0.379
ENST00000422900.1	ENSG00000180694.14	TMEM64	1174	0.437
ENST00000668846.11	ENSG00000246792.3	AC106038.1	857	0.462
ENST00000521366.1	ENSG00000123119.12	NECAB1	2908	0.323
ENST00000518869.1	ENSG00000155099.8	PIP4P2	841	0.521
ENST00000519498.11	ENSG00000254219.1	AC087439.2	552	0.388
ENST00000659792.1	ENSG00000253738.2	OTUD6B-AS1	5405	0.372
ENST00000615618.1	ENSG00000155100.11	OTUD6B	3434	0.349
ENST00000518304.11	ENSG00000214954.8	LRRC69	571	0.317
ENST00000517930.1	ENSG00000147606.9	SLC26A7	581	0.377
ENST00000518416.1	ENSG00000253901.1	AC103409.1	577	0.51
ENST00000520047.1	ENSG00000079102.16	RUNX1T1	1872	0.425
ENST00000655386.1	ENSG00000253682.2	AC022695.2	1416	0.453
ENST00000648652.11	ENSG00000253634.3	AC091096.1	1888	0.416
ENST00000657155.1	ENSG00000253177.2	AC104211.1	2134	0.396
ENST00000623616.1	ENSG00000248858.7	FLJ46284	4282	0.338
ENST00000664548.11	ENSG00000253577.2	AC117834.2	751	0.414
ENST00000521203.1	ENSG00000253197.5	AC117834.1	561	0.422
ENST00000537541.11	ENSG00000205133.12	TRIQK	3510	0.342
ENST00000522116.1	ENSG00000279847.3	C8orf87	382	0.476
ENST00000501400.1	ENSG00000246662.6	LINC00535	1914	0.506
ENST00000655285.1	ENSG00000254089.2	AC016885.2	1102	0.401
ENST00000620645.1	ENSG00000188343.13	CIBAR1	1014	0.422
ENST00000627241.1	ENSG00000183808.11	RBM12B	2646	0.442
ENST00000481620.1	ENSG00000164953.16	TMEM67	1579	0.355
ENST00000517764.1	ENSG00000164951.16	PDP1	2140	0.474
ENST00000521491.1	ENSG00000079112.10	CDH17	637	0.473
ENST00000523660.1	ENSG00000164949.8	GEM	838	0.582
ENST00000523192.1	ENSG00000197275.14	RAD54B	630	0.303
ENST00000517506.21	ENSG00000265817.4	FSBP	2472	0.383
ENST00000523263.1	ENSG00000164944.12	VIRMA	609	0.411
ENST00000658286.11	ENSG00000253704.2	AC023632.2	2711	0.444
ENST00000646773.1	ENSG00000104413.18	ESRP1	3274	0.426
ENST00000523020.1	ENSG00000156162.16	DPY19L4	828	0.348
ENST00000521706.11	ENSG00000254307.2	AP003692.1	796	0.318
ENST00000522261.1	ENSG00000164941.14	INTS8	589	0.413
ENST00000520509.51	ENSG00000175305.17	CCNE2	3330	0.369
ENST00000520757.1	ENSG00000156170.13	NDUFAF6	1474	0.471
ENST00000342697.5	ENSG00000164938.14	TP53INP1	5605	0.393
ENST00000519034.1	ENSG00000253878.5	AC087752.3	449	0.494
ENST00000517864.1	ENSG00000245080.7	MIR3150BHG	566	0.516
ENST00000519516.1	ENSG00000175895.4	PLEKHF2	1144	0.502
ENST00000655917.1	ENSG00000253773.3	C8orf37-AS1	2656	0.422
ENST00000656091.11	ENSG00000253351.2	LINC01298	756	0.526
ENST00000621429.1	ENSG00000156466.10	GDF6	1179	0.656
ENST00000518876.1	ENSG00000156467.10	UQCRB	3968	0.381
ENST00000671278.1	ENSG00000254224.2	AP003465.1	1416	0.421
ENST00000517720.1	ENSG00000156469.9	MTERF3	412	0.519
ENST00000517982.1	ENSG00000156471.13	PTDSS1	1215	0.493
ENST00000522767.2	ENSG00000253105.6	AP003548.1	1844	0.466
ENST00000523877.1	ENSG00000169439.12	SDC2	621	0.467
ENST00000529551.1	ENSG00000104324.16	CPQ	896	0.432
ENST00000522313.1	ENSG00000147649.10	MTDH	672	0.463
ENST00000619747.11	ENSG00000104341.17	LAPTM4B	2758	0.488
ENST00000523490.1	ENSG00000132561.14	MATN2	2031	0.557
ENST00000521726.1	ENSG00000156482.11	RPL30	1129	0.529
ENST00000545282.11	ENSG00000177459.11	ERICH5	596	0.487
ENST00000519608.1	ENSG00000132541.11	RIDA	771	0.358
ENST00000517435.1	ENSG00000104356.11	POP1	506	0.476
ENST00000519324.1	ENSG00000104361.10	NIPAL2	615	0.463
ENST00000523960.1	ENSG00000104375.17	STK3	5333	0.374
ENST00000521839.1	ENSG00000156486.8	KCNS2	4340	0.491
ENST00000518199.1	ENSG00000164920.9	OSR2	1048	0.613
ENST00000653552.1	ENSG00000253948.2	VPS13B-DT	2836	0.416
ENST00000493587.1	ENSG00000132549.18	VPS13B	3485	0.43
ENST00000523016.1	ENSG00000164919.11	COX6C	745	0.4
ENST00000617334.1	ENSG00000132554.20	RGS22	4253	0.398
ENST00000520987.1	ENSG00000156509.14	FBXO43	2652	0.413
ENST00000519765.1	ENSG00000147669.11	POLR2K	1021	0.352
ENST00000519424.1	ENSG00000104450.13	SPAG1	645	0.422
ENST00000523167.1	ENSG00000034677.13	RNF19A	792	0.468
ENST00000654832.1	ENSG00000253824.2	AP003472.1	1465	0.361
ENST00000656767.11	ENSG00000253842.2	AP003472.2	1943	0.411
ENST00000667762.11	ENSG00000253666.2	AP000424.1	1669	0.437
ENST00000524319.1	ENSG00000186106.11	ANKRD46	1648	0.55
ENST00000520743.1	ENSG00000174226.9	SNX31	563	0.492
ENST00000521535.1	ENSG00000253740.5	AP001205.1	316	0.465
ENST00000610907.1	ENSG00000070756.16	PABPC1	1569	0.455
ENST00000418997.1	ENSG00000164924.18	YWHAZ	996	0.613
ENST00000665627.1	ENSG00000248599.2	FLJ42969	2368	0.486
ENST00000520411.11	ENSG00000253355.1	AP003469.1	498	0.458
ENST00000520498.1	ENSG00000120963.12	ZNF706	615	0.346
ENST00000419462.11	ENSG00000228224.3	NACA4P	1555	0.469
ENST00000669605.1	ENSG00000253644.2	LINC02845	602	0.483
ENST00000646743.1	ENSG00000083307.12	GRHL2	5232	0.498
ENST00000522754.1	ENSG00000104490.18	NCALD	2528	0.471
ENST00000621845.1	ENSG00000048392.12	RRM2B	3483	0.371
ENST00000667853.1	ENSG00000246263.3	UBR5-AS1	2354	0.354
ENST00000521767.1	ENSG00000104517.13	UBR5	1763	0.415
ENST00000659499.1	ENSG00000253633.2	AP002852.1	1641	0.468
ENST00000518835.1	ENSG00000155087.4	ODF1	368	0.489
ENST00000395884.3	ENSG00000155090.15	KLF10	3659	0.472
ENST00000517910.1	ENSG00000253669.4	GASAL1	2770	0.567
ENST00000522311.1	ENSG00000155096.14	AZIN1	872	0.413
ENST00000659614.11	ENSG00000253320.7	AZIN1-AS1	4569	0.454
ENST00000518959.1	ENSG00000155097.12	ATP6V1C1	553	0.363
ENST00000436771.11	ENSG00000236939.2	BAALC-AS2	496	0.56
ENST00000523754.1	ENSG00000164929.17	BAALC	1421	0.466
ENST00000660425.1	ENSG00000247081.8	BAALC-AS1	4533	0.456
ENST00000521195.1	ENSG00000164930.12	FZD6	2682	0.413
ENST00000520337.1	ENSG00000164932.13	CTHRC1	1198	0.393
ENST00000523866.1	ENSG00000164933.12	SLC25A32	1347	0.457
ENST00000611541.1	ENSG00000164934.14	DCAF13	3496	0.349
ENST00000523422.1	ENSG00000253477.5	AC012213.1	449	0.608
ENST00000666250.11	ENSG00000176406.23	RIMS2	7564	0.419
ENST00000519217.1	ENSG00000147647.13	DPYS	676	0.454
ENST00000622554.1	ENSG00000164935.6	DCSTAMP	1471	0.464
ENST00000622091.11	ENSG00000179577.3	AP003471.1	1989	0.377
ENST00000519675.1	ENSG00000147650.11	LRP12	5008	0.349
ENST00000522296.1	ENSG00000169946.14	ZFPM2	3312	0.459
ENST00000647695.11	ENSG00000251003.9	ZFPM2-AS1	539	0.475
ENST00000661818.1	ENSG00000254615.3	AC027031.2	1174	0.501
ENST00000435082.1	ENSG00000164830.18	OXR1	2023	0.438
ENST00000522400.1	ENSG00000154188.10	ANGPT1	1936	0.345
ENST00000666252.1	ENSG00000147655.12	RSPO2	2898	0.448
ENST00000523674.11	ENSG00000104408.10	EIF3E	1072	0.335
ENST00000519642.1	ENSG00000104412.8	EMC2	404	0.426
ENST00000518838.11	ENSG00000164841.5	TMEM74	1255	0.427
ENST00000661381.11	ENSG00000253796.2	AC104248.1	1111	0.383
ENST00000518632.21	ENSG00000174417.3	TRHR	3694	0.378
ENST00000521439.1	ENSG00000120526.11	NUDCD1	1172	0.374
ENST00000518118.1	ENSG00000120533.13	ENY2	2747	0.368
ENST00000526472.1	ENSG00000205038.12	PKHD1L1	3686	0.409
ENST00000614147.1	ENSG00000147654.15	EBAG9	1179	0.473
ENST00000433638.1	ENSG00000147642.17	SYBU	3104	0.505
ENST00000297404.1	ENSG00000164794.9	KCNV1	2927	0.47
ENST00000664704.1	ENSG00000253877.6	LINC01608	3928	0.38
ENST00000655136.1	ENSG00000253103.2	LINC01609	1379	0.378
ENST00000655458.1	ENSG00000253434.8	LINC02237	1674	0.345
ENST00000493303.1	ENSG00000164796.18	CSMD3	5703	0.306
ENST00000668818.11	ENSG00000286946.1	AC024996.1	1454	0.381
ENST00000521500.21	ENSG00000253207.3	AC103993.1	1584	0.316
ENST00000520543.1	ENSG00000254339.5	AC064802.1	877	0.475
ENST00000640765.11	ENSG00000104447.13	TRPS1	9514	0.401
ENST00000664052.1	ENSG00000249917.3	LINC00536	2115	0.441
ENST00000611080.1	ENSG00000147677.11	EIF3H	1265	0.446
ENST00000519443.1	ENSG00000147679.12	UTP23	894	0.431
ENST00000517749.1	ENSG00000164754.15	RAD21	1003	0.38
ENST00000523536.1	ENSG00000205002.4	AARD	500	0.57
ENST00000520469.1	ENSG00000164756.12	SLC30A8	585	0.431
ENST00000519391.1	ENSG00000164758.7	MED30	584	0.307
ENST00000437196.1	ENSG00000182197.12	EXT1	1446	0.492
ENST00000648422.1	ENSG00000177570.14	SAMD12	2721	0.376
ENST00000647600.1	ENSG00000225885.7	AC023590.1	1816	0.378
ENST00000658340.1	ENSG00000281641.3	SAMD12-AS1	2192	0.435
ENST00000517352.1	ENSG00000164761.9	TNFRSF11B	1144	0.497
ENST00000521788.11	ENSG00000184374.3	COLEC10	670	0.482
ENST00000531508.1	ENSG00000147676.14	MAL2	892	0.491
ENST00000655158.11	ENSG00000253972.6	MAL2-AS1	1033	0.433
ENST00000653228.11	ENSG00000286282.1	AC021733.4	4872	0.351
ENST00000520082.1	ENSG00000136999.5	CCN3	544	0.588
ENST00000523861.1	ENSG00000136960.13	ENPP2	3647	0.371
ENST00000529653.1	ENSG00000064313.12	TAF2	1237	0.446
ENST00000521795.1	ENSG00000136982.6	DSCC1	703	0.461
ENST00000523563.1	ENSG00000245330.4	AP005717.1	419	0.504
ENST00000518057.1	ENSG00000155792.10	DEPTOR	566	0.542
ENST00000574086.1	ENSG00000254343.2	AC091563.1	522	0.322
ENST00000537875.2	ENSG00000187955.12	COL14A1	3119	0.421
ENST00000613356.1	ENSG00000172172.8	MRPL13	2367	0.335
ENST00000522449.1	ENSG00000172167.8	MTBP	3375	0.36
ENST00000648490.1	ENSG00000172164.15	SNTB1	4994	0.441
ENST00000656304.1	ENSG00000248690.8	HAS2-AS1	1462	0.369
ENST00000663221.11	ENSG00000254209.2	LINC02855	617	0.386
ENST00000670473.1	ENSG00000253819.2	LINC01151	3084	0.407
ENST00000534247.1	ENSG00000178764.8	ZHX2	873	0.477
ENST00000524348.1	ENSG00000253372.5	AC016405.1	758	0.43
ENST00000524119.1	ENSG00000136986.10	DERL1	5513	0.431
ENST00000521980.1	ENSG00000156787.17	TBC1D31	2552	0.386
ENST00000521468.1	ENSG00000147689.16	FAM83A	614	0.542
ENST00000661117.11	ENSG00000204949.9	FAM83A-AS1	1295	0.483
ENST00000518996.1	ENSG00000189376.12	C8orf76	836	0.438
ENST00000622816.2	ENSG00000259305.6	ZHX1-C8orf76	581	0.468
ENST00000602651.1	ENSG00000165156.15	ZHX1	1014	0.308
ENST00000534257.1	ENSG00000156802.13	ATAD2	544	0.412
ENST00000650311.1	ENSG00000156795.8	NTAQ1	3502	0.404
ENST00000520511.1	ENSG00000156804.7	FBXO32	807	0.528
ENST00000652905.11	ENSG00000253286.6	AC135166.1	1076	0.469
ENST00000523822.1	ENSG00000104537.17	ANXA13	1964	0.452
ENST00000520246.1	ENSG00000176853.16	FAM91A1	1262	0.379
ENST00000669903.11	ENSG00000253868.4	FER1L6-AS2	4570	0.44
ENST00000668271.1	ENSG00000253227.2	AC090192.2	1589	0.456
ENST00000522518.1	ENSG00000183665.5	TRMT12	822	0.488
ENST00000669597.1	ENSG00000245149.4	RNF139-AS1	3850	0.449
ENST00000517684.2	ENSG00000170881.5	RNF139	467	0.39
ENST00000630259.1	ENSG00000147687.19	TATDN1	915	0.37
ENST00000524241.1	ENSG00000147684.9	NDUFB9	654	0.451
ENST00000520771.1	ENSG00000170873.19	MTSS1	3548	0.471
ENST00000655969.1	ENSG00000255491.3	AC100858.3	3044	0.501
ENST00000669524.1	ENSG00000249816.7	LINC00964	3066	0.444
ENST00000657373.11	ENSG00000255313.2	AC100858.2	1231	0.456
ENST00000518604.1	ENSG00000104549.12	SQLE	743	0.336
ENST00000521109.1	ENSG00000164961.16	WASHC5	545	0.512
ENST00000517315.1	ENSG00000156831.8	NSMCE2	996	0.4
ENST00000519576.1	ENSG00000173334.4	TRIB1	1409	0.491
ENST00000522815.11	ENSG00000253111.2	AC091114.1	630	0.51
ENST00000651999.11	ENSG00000286122.1	AC016074.2	3061	0.389
ENST00000651667.11	ENSG00000245164.8	LINC00861	2210	0.438
ENST00000660126.1	ENSG00000244791.3	AC087667.1	1426	0.452
ENST00000648647.11	ENSG00000253220.2	AC084116.1	1513	0.456
ENST00000664111.11	ENSG00000253530.2	AC084116.3	559	0.454
ENST00000652209.1	ENSG00000168672.4	LRATD2	4831	0.499
ENST00000561978.1	ENSG00000253438.4	PCAT1	1992	0.457
ENST00000641965.1	ENSG00000254166.3	CASC19	2329	0.4
ENST00000502056.1	ENSG00000246228.6	CASC8	1412	0.441
ENST00000645438.11	ENSG00000212993.5	POU5F1B	2102	0.523
ENST00000652749.11	ENSG00000286266.1	AC104370.1	2462	0.442
ENST00000672942.1	ENSG00000249375.8	CASC11	1095	0.464
ENST00000524013.1	ENSG00000136997.20	MYC	2150	0.539
ENST00000660438.1	ENSG00000249859.12	PVT1	2450	0.478
ENST00000665457.11	ENSG00000278275.2	AC103705.1	1349	0.414
ENST00000520824.1	ENSG00000254275.6	LINC00824	892	0.479
ENST00000643616.11	ENSG00000229140.11	CCDC26	20097	0.34
ENST00000619643.1	ENSG00000147697.9	GSDMC	1831	0.459
ENST00000639004.1	ENSG00000153310.19	CYRIB	837	0.41
ENST00000665358.1	ENSG00000253720.2	AC022973.3	2211	0.422
ENST00000521057.1	ENSG00000153317.15	ASAP1	720	0.417
ENST00000522949.1	ENSG00000155897.10	ADCY8	928	0.504
ENST00000519005.1	ENSG00000253507.5	AC104257.1	731	0.476
ENST00000519656.1	ENSG00000132294.15	EFR3A	5247	0.365
ENST00000414222.11	ENSG00000132297.12	HHLA1	4105	0.471
ENST00000621976.11	ENSG00000184156.17	KCNQ3	10659	0.429
ENST00000648355.11	ENSG00000253521.2	HPYR1	2147	0.502
ENST00000618342.1	ENSG00000129295.9	LRRC6	1754	0.392
ENST00000522594.1	ENSG00000165071.14	TMEM71	779	0.393
ENST00000477051.1	ENSG00000129292.21	PHF20L1	3293	0.349
ENST00000608375.1	ENSG00000223697.3	AF230666.1	870	0.371
ENST00000523901.11	ENSG00000042832.12	TG	745	0.556
ENST00000518594.1	ENSG00000155926.14	SLA	977	0.474
ENST00000519433.1	ENSG00000104415.14	CCN4	545	0.554
ENST00000521438.1	ENSG00000104419.17	NDRG1	2810	0.512
ENST00000648219.1	ENSG00000008513.16	ST3GAL1	2906	0.541
ENST00000519827.1	ENSG00000066827.16	ZFAT	659	0.423
ENST00000657881.1	ENSG00000254083.6	LINC01591	916	0.444
ENST00000519600.1	ENSG00000131773.14	KHDRBS3	5466	0.372
ENST00000659405.1	ENSG00000254101.7	LINC02055	5357	0.418
ENST00000649090.1	ENSG00000285683.2	AC023781.1	1050	0.447
ENST00000518973.11	ENSG00000253288.2	AC046195.1	4171	0.355
ENST00000666242.1	ENSG00000254361.2	AC046195.2	2287	0.408
ENST00000520283.1	ENSG00000147724.12	FAM135B	5067	0.407
ENST00000487854.1	ENSG00000169436.17	COL22A1	697	0.519
ENST00000649473.1	ENSG00000169427.8	KCNK9	5062	0.518
ENST00000518723.1	ENSG00000167632.17	TRAPPC9	558	0.516
ENST00000521883.1	ENSG00000253574.5	AC021744.1	319	0.552
ENST00000519533.11	ENSG00000104472.10	CHRAC1	1678	0.465
ENST00000521325.1	ENSG00000123908.12	AGO2	683	0.488
ENST00000520917.1	ENSG00000169398.19	PTK2	653	0.41
ENST00000517606.11	ENSG00000253266.1	AC100860.1	1064	0.57
ENST00000517813.1	ENSG00000105339.10	DENND3	4487	0.555
ENST00000664702.11	ENSG00000253210.2	AC040970.1	1490	0.448
ENST00000520137.1	ENSG00000022567.10	SLC45A4	835	0.707
ENST00000518232.1	ENSG00000253595.6	LINC01300	688	0.533
ENST00000524028.1	ENSG00000184489.12	PTP4A3	963	0.612
ENST00000621837.1	ENSG00000226807.6	MROH5	4164	0.613
ENST00000427937.11	ENSG00000226490.2	AC138647.1	648	0.738
ENST00000673717.11	ENSG00000287677.2	AC025839.1	3643	0.559
ENST00000662555.1	ENSG00000171045.16	TSNARE1	1914	0.656
ENST00000643448.11	ENSG00000181790.11	ADGRB1	6232	0.684
ENST00000641204.1	ENSG00000232722.3	MROH4P	342	0.62
ENST00000581404.1	ENSG00000198576.4	ARC	407	0.658
ENST00000614134.11	ENSG00000234616.9	JRK	8932	0.565
ENST00000505305.11	ENSG00000167653.5	PSCA	851	0.616
ENST00000522591.1	ENSG00000160886.13	LY6K	2724	0.519
ENST00000663158.1	ENSG00000253741.2	LNCOC1	4254	0.491
ENST00000518798.1	ENSG00000130193.8	THEM6	2279	0.628
ENST00000615007.4	ENSG00000284505.1	LYNX1-SLURP2	1293	0.616
ENST00000521396.1	ENSG00000283992.2	SLURP2	373	0.668
ENST00000614491.11	ENSG00000180155.20	LYNX1	4708	0.636
ENST00000518469.11	ENSG00000167656.5	LY6D	1423	0.623
ENST00000519411.1	ENSG00000253728.5	AC083841.3	349	0.668
ENST00000220940.2	ENSG00000104499.7	GML	728	0.479
ENST00000377675.3	ENSG00000160882.13	CYP11B1	2280	0.601
ENST00000517833.11	ENSG00000247317.3	LY6E-DT	995	0.507
ENST00000517503.11	ENSG00000160932.11	LY6E	1335	0.634
ENST00000669519.1	ENSG00000177335.11	C8orf31	1365	0.553
ENST00000479685.1	ENSG00000176956.12	LY6H	1591	0.679
ENST00000522233.1	ENSG00000181638.20	ZFP41	548	0.633
ENST00000523812.1	ENSG00000250571.7	GLI4	2333	0.676
ENST00000671046.1	ENSG00000253716.6	MINCR	1527	0.499
ENST00000521537.1	ENSG00000185730.8	ZNF696	705	0.624
ENST00000517857.1	ENSG00000184428.13	TOP1MT	624	0.579
ENST00000522899.1	ENSG00000158106.14	RHPN1	1778	0.679
ENST00000528185.11	ENSG00000182759.4	MAFA	546	0.648
ENST00000528401.1	ENSG00000014164.7	ZC3H3	546	0.601
ENST00000528475.1	ENSG00000104518.11	GSDMD	2067	0.652
ENST00000529971.1	ENSG00000204839.9	MROH6	1680	0.701
ENST00000532645.1	ENSG00000147813.16	NAPRT	866	0.67
ENST00000526710.1	ENSG00000104529.17	EEF1D	996	0.691
ENST00000482616.1	ENSG00000104524.14	PYCR3	830	0.646
ENST00000531006.1	ENSG00000104522.16	TSTA3	860	0.61
ENST00000458270.2	ENSG00000183309.12	ZNF623	2733	0.503
ENST00000532571.1	ENSG00000181135.16	ZNF707	629	0.628
ENST00000484654.11	ENSG00000181085.15	MAPK15	2240	0.647
ENST00000650760.1	ENSG00000180921.7	FAM83H	6131	0.663
ENST00000534398.1	ENSG00000203499.11	IQANK1	582	0.625
ENST00000674084.11	ENSG00000180900.20	SCRIB	5227	0.667
ENST00000532884.1	ENSG00000179950.14	PUF60	819	0.626
ENST00000527545.1	ENSG00000185189.18	NRBP2	2546	0.573
ENST00000615648.21	ENSG00000261150.3	EPPK1	16005	0.681
ENST00000528131.1	ENSG00000178209.15	PLEC	564	0.603
ENST00000533665.1	ENSG00000178685.14	PARP10	935	0.658
ENST00000525513.1	ENSG00000178719.17	GRINA	796	0.603
ENST00000447830.2	ENSG00000186583.12	SPATC1	1795	0.646
ENST00000528912.1	ENSG00000204791.10	SMPD5	1390	0.684
ENST00000527993.1	ENSG00000178814.17	OPLAH	635	0.654
ENST00000527954.1	ENSG00000178896.9	EXOSC4	1065	0.571
ENST00000529638.1	ENSG00000197858.11	GPAA1	1570	0.629
ENST00000533444.11	ENSG00000179091.5	CYC1	1832	0.645
ENST00000533948.1	ENSG00000179526.17	SHARPIN	981	0.668
ENST00000527058.1	ENSG00000179632.10	MAF1	868	0.568
ENST00000529209.1	ENSG00000179698.14	WDR97	3079	0.632
ENST00000534255.1	ENSG00000235173.7	HGH1	1791	0.607
ENST00000544576.1	ENSG00000179832.17	MROH1	3673	0.639
ENST00000568812.1	ENSG00000261236.8	BOP1	878	0.681
ENST00000614796.1	ENSG00000185122.11	HSF1	1724	0.64
ENST00000525371.1	ENSG00000185000.12	DGAT1	840	0.673
ENST00000675292.1	ENSG00000185803.12	SLC52A2	2099	0.635
ENST00000561638.11	ENSG00000261587.2	TMEM249	1762	0.608
ENST00000529279.1	ENSG00000182325.11	FBXL6	852	0.635
ENST00000525136.1	ENSG00000173137.12	ADCK5	260	0.588
ENST00000622776.1	ENSG00000071894.17	CPSF1	1029	0.631
ENST00000531013.1	ENSG00000147804.10	SLC39A4	795	0.654
ENST00000531924.1	ENSG00000160948.14	VPS28	695	0.588
ENST00000613741.1	ENSG00000160949.17	TONSL	1713	0.633
ENST00000533173.1	ENSG00000187954.12	CYHR1	6158	0.611
ENST00000643461.11	ENSG00000167702.13	KIFC2	3646	0.681
ENST00000525197.1	ENSG00000160973.8	FOXH1	492	0.671
ENST00000435887.1	ENSG00000160972.9	PPP1R16A	2273	0.671
ENST00000528207.1	ENSG00000255182.2	AC084125.2	2625	0.649
ENST00000527961.1	ENSG00000167701.14	GPT	549	0.645
ENST00000526749.1	ENSG00000167700.9	MFSD3	852	0.668
ENST00000534538.1	ENSG00000160957.14	RECQL4	725	0.68
ENST00000528528.1	ENSG00000160959.8	LRRC14	1408	0.64
ENST00000533758.1	ENSG00000254402.7	LRRC24	1701	0.714
ENST00000532827.1	ENSG00000213563.7	C8orf82	802	0.68
ENST00000528810.1	ENSG00000147799.11	ARHGAP39	570	0.611
ENST00000529026.1	ENSG00000255085.8	AF186192.2	661	0.507
ENST00000530353.1	ENSG00000198169.9	ZNF251	2342	0.625
ENST00000527740.1	ENSG00000196378.13	ZNF34	2056	0.525
ENST00000532702.1	ENSG00000161016.17	RPL8	745	0.624
ENST00000530879.1	ENSG00000197363.9	ZNF517	3191	0.633
ENST00000528017.1	ENSG00000147789.15	ZNF7	5641	0.463
ENST00000530332.11	ENSG00000170619.10	COMMD5	1329	0.567
ENST00000527049.1	ENSG00000196150.13	ZNF250	610	0.651
ENST00000611477.1	ENSG00000170631.15	ZNF16	2528	0.512
ENST00000592792.1	ENSG00000196922.10	ZNF252P	2485	0.41
ENST00000648784.1	ENSG00000182307.14	C8orf33	1761	0.524
ENST00000642633.1	ENSG00000181404.17	WASHC1	556	0.608
ENST00000646920.1	ENSG00000218839.5	FAM138C	755	0.526
ENST00000614900.1	ENSG00000277631.5	PGM5P3-AS1	569	0.417
ENST00000652777.1	ENSG00000227917.3	AL449043.1	1495	0.432
ENST00000382393.2	ENSG00000172785.18	CBWD1	1731	0.34
ENST00000648587.11	ENSG00000183784.7	DOCK8-AS1	2918	0.512
